index,product_name,product_link
0,OLEHENRIKSEN Banana Bright Eye Crème,https://www.sephora.com/ca/en/product/banana-bright-eye-creme-P426339?icid2=products%20grid:p426339:product
1,Drunk Elephant C-Tango Vitamin C Eye Cream,https://www.sephora.com/ca/en/product/c-tango-multivitamin-eye-cream-P429515?icid2=products%20grid:p429515:product
2,Shiseido Benefiance WrinkleResist24 Intensive Eye Contour Cream,https://www.sephora.com/ca/en/product/benefiance-wrinkleresist24-intensive-eye-contour-cream-P173620?icid2=products%20grid:p173620:product
3,Estée Lauder Advanced Night Repair Eye Supercharged Complex,https://www.sephora.com/ca/en/product/advanced-night-repair-eye-supercharged-complex-P433885?icid2=products%20grid:p433885:product
4,Kiehl's Since 1851 Creamy Eye Treatment with Avocado,https://www.sephora.com/ca/en/product/creamy-eye-treatment-with-avocado-P422000?icid2=products%20grid:p422000:product
5,La Mer The Eye Concentrate,https://www.sephora.com/ca/en/product/the-eye-concentrate-P416343?icid2=products%20grid:p416343:product
6,Origins GinZing™ Refreshing Eye Cream to Brighten and Depuff,https://www.sephora.com/ca/en/product/ginzing-refreshing-eye-cream-P297511?icid2=products%20grid:p297511:product
7,Drunk Elephant Shaba Complex™ Eye Serum,https://www.sephora.com/ca/en/product/shaba-complex-eye-serum-P419223?icid2=products%20grid:p419223:product
8,belif Moisturizing Eye Bomb,https://www.sephora.com/ca/en/product/moisturizing-eye-bomb-P422905?icid2=products%20grid:p422905:product
9,Tatcha The Pearl Tinted Eye Illuminating Treatment,https://www.sephora.com/ca/en/product/the-pearl-tinted-eye-illuminating-treatment-P431423?icid2=products%20grid:p431423:product
10,SEPHORA COLLECTION Brightening Eye Cream – Hydrate & Depuff,https://www.sephora.com/ca/en/product/brightening-eye-cream-hydrate-depuff-P438619?icid2=products%20grid:p438619:product
11,Fresh Black Tea Firming and De-Puffing Eye Cream,https://www.sephora.com/ca/en/product/black-tea-age-delay-eye-concentrate-P384778?icid2=products%20grid:p384778:product
12,IT Cosmetics Bye Bye Under Eye Brightening Eye Cream,https://www.sephora.com/ca/en/product/bye-bye-under-eye-eye-cream-smooths-brightens-depuffs-P411401?icid2=products%20grid:p411401:product
13,First Aid Beauty FAB Skin Lab Retinol Eye Cream with Triple Hyaluronic Acid,https://www.sephora.com/ca/en/product/fab-skin-labe-retinol-eye-cream-triple-hyaluronic-acid-P442713?icid2=products%20grid:p442713:product
14,Dr. Dennis Gross Skincare Ferulic + Retinol Triple Correction Eye Serum,https://www.sephora.com/ca/en/product/ferulic-retinol-triple-correction-eye-serum-P377531?icid2=products%20grid:p377531:product
15,Tatcha Luminous Deep Hydration Firming Eye Serum,https://www.sephora.com/ca/en/product/luminous-deep-hydration-firming-eye-serum-P403821?icid2=products%20grid:p403821:product
16,Dr. Brandt Skincare needles no more® NO MORE BAGGAGE™ eye de-puffing gel,https://www.sephora.com/ca/en/product/no-more-baggage-eye-de-puffing-gel-P421759?icid2=products%20grid:p421759:product
17,CLINIQUE All About Eyes™ Rich,https://www.sephora.com/ca/en/product/all-about-eyes-rich-P174502?icid2=products%20grid:p174502:product
18,Algenist Complete Eye Renewal Balm,https://www.sephora.com/ca/en/product/complete-eye-renewal-balm-P282938?icid2=products%20grid:p282938:product
19,Kiehl's Since 1851 Midnight Recovery Eye,https://www.sephora.com/ca/en/product/midnight-recovery-eye-P422015?icid2=products%20grid:p422015:product
20,MILK MAKEUP Cooling Water,https://www.sephora.com/ca/en/product/cooling-water-P404795?icid2=products%20grid:p404795:product
21,Biossance Squalane + Peptide Eye Gel,https://www.sephora.com/ca/en/product/squalane-peptide-eye-gel-P416562?skuId=1923580&icid2=products%20grid:p416562:product
22,"First Aid Beauty Eye Duty Triple Remedy: Brighten, Depuff and Smooth",https://www.sephora.com/ca/en/product/eye-duty-triple-remedy-brighten-depuff-smooth-P385329?icid2=products%20grid:p385329:product
23,Perricone MD Hypoallergenic Firming Eye Cream,https://www.sephora.com/ca/en/product/hypoallergenic-gentle-firming-eye-cream-P294204?icid2=products%20grid:p294204:product
24,Peter Thomas Roth Cucumber De-Tox™ Hydra-Gel Eye Patches,https://www.sephora.com/ca/en/product/cucumber-de-tox-hydra-gel-eye-patches-P412025?icid2=products%20grid:p412025:product
25,SK-II R.N.A. POWER Anti-Aging Eye Cream,https://www.sephora.com/ca/en/product/r-n-a-power-eye-cream-radical-new-age-P416813?icid2=products%20grid:p416813:product
